Threshold,Approval Rate,Thin-file Approval,Expected Loss,Net Profit
0.2,0.70125,0.6601255886944265,0.0,529890.1650000003
0.25,0.70125,0.6601255886944265,0.0,529890.1650000003
0.30000000000000004,0.70125,0.6601255886944265,0.0,529890.1650000003
0.35000000000000003,0.70125,0.6601255886944265,0.0,529890.1650000003
0.4,0.70125,0.6601255886944265,0.0,529890.1650000003
0.45000000000000007,0.70125,0.6601255886944265,0.0,529890.1650000003
0.5,0.70125,0.6601255886944265,0.0,529890.1650000003
0.55,0.70125,0.6601255886944265,0.0,529890.1650000003
0.6000000000000001,0.70125,0.6601255886944265,0.0,529890.1650000003
0.6500000000000001,0.70125,0.6601255886944265,0.0,529890.1650000003
0.7000000000000002,0.70125,0.6601255886944265,0.0,529890.1650000003
0.7500000000000002,0.70125,0.6601255886944265,0.0,529890.1650000003
0.8,0.70125,0.6601255886944265,0.0,529890.1650000003
