Country,Applicants,Approval Rate,Thin-file Approval,Volume,Expected Loss,Net Profit,ROI
USA,1000,0.71,0.7291666666666666,2520300.0,0.0,255040.5,0.10119450065468358
EUROPE,1000,0.757,0.6708074534161491,2256632.0,0.0,213805.32000000007,0.09474531957359425
CHINA,1000,0.743,0.7027027027027027,1133987.0,0.0,63928.244999999995,0.056374760028112696
BRAZIL,1000,0.68,0.615606936416185,842779.0,0.0,32175.165000000008,0.038177464080143934
INDONESIA,1000,0.68,0.656891495601173,606363.0,0.0,259.00500000000466,0.00042714512593941317
INDIA,1000,0.68,0.6502732240437158,599289.0,0.0,-695.9850000000006,-0.001161351201173372
KENYA,1000,0.68,0.6890951276102089,520000.0,0.0,-11400.0,-0.0219230769230765
NIGERIA,1000,0.68,0.6194690265486725,432429.0,0.0,-23222.084999999992,-0.05370149781813767
