Model,Accuracy,Precision,Recall,F1,ROC-AUC,Thin-file Recall,Thin-file Accuracy
Logistic Regression,0.5655,0.3955453149001536,0.8626465661641541,0.5423907319641916,0.7546762083164695,0.8512396694214877,0.5570776255707762
Random Forest,0.786,0.5881126173096975,0.9447236180904522,0.7249357326478149,0.9256880744898166,0.8842975206611571,0.791476407914764
Gradient Boosting,0.899,0.9140461215932913,0.7303182579564489,0.8119180633147114,0.9434533083569429,0.6983471074380165,0.8751902587519026
XGBoost (Cost-Sensitive),0.876,0.7269180754226268,0.9363484087102177,0.8184480234260615,0.9515766048107013,0.871900826446281,0.8462709284627092
